timestamps,humidity,temperature,lightness,count
1600060355.0,81.5,30.5,518.33,3
1600060655.0,80.9,30.6,514.17,4
1600060955.0,81.7,30.6,506.67,5
1600061255.0,78.7,30.6,505.0,6
1600061555.0,80.2,30.8,215.0,7
1600061855.0,81.5,30.9,504.17,8
1600062155.0,77.7,31.3,471.67,9
1600062455.0,76.3,31.7,306.67,10
1600062755.0,73.8,32.3,469.17,11
1600063055.0,73.9,32.6,465.83,12
1600063355.0,70.9,33.0,439.17,13
1600063655.0,73.3,33.2,384.17,14
1600063955.0,73.4,32.8,435.83,15
1600064255.0,76.0,32.3,432.5,16
1600064555.0,76.8,31.8,417.5,17
1600064855.0,77.5,31.4,398.33,18
1600065155.0,79.1,31.0,407.5,19
1600065455.0,79.2,30.8,396.67,20
1600065755.0,79.0,30.8,389.17,21
1600066055.0,81.3,30.9,376.67,22
1600066355.0,77.2,31.1,365.0,23
1600066655.0,76.7,31.4,355.83,24
1600066955.0,75.7,31.8,351.67,25
1600067255.0,74.8,32.0,337.5,26
1600067555.0,74.2,32.3,333.33,27
1600067855.0,73.9,32.4,108.33,28
1600068155.0,72.5,32.5,307.5,29
1600068455.0,73.0,32.4,202.5,30
1600068755.0,73.5,32.5,191.67,31
1600069055.0,72.8,32.2,205.83,32
1600069355.0,73.2,32.2,197.5,33
1600069655.0,72.0,32.0,135.83,34
1600069955.0,72.1,32.0,250.0,35
1600070255.0,71.5,31.7,243.33,36
1600070555.0,72.0,31.9,661.67,37
1600070855.0,68.9,32.3,1746.67,38
1600071155.0,67.8,33.0,1635.83,39
1600071455.0,67.1,33.4,1582.5,40
1600071755.0,67.5,33.7,1501.67,41
1600072055.0,66.1,33.8,1468.33,42
1600072355.0,65.9,33.8,1430.0,43
1600072655.0,65.7,33.8,1386.67,44
1600072955.0,65.4,33.7,1342.5,45
1600073255.0,65.8,33.6,1285.83,46
1600073555.0,66.7,33.5,1228.33,47
1600073855.0,66.95,33.4,1139.58,48.0
1600074155.0,67.2,33.3,1050.83,49
1600074455.0,66.7,33.1,960.83,50
1600074755.0,68.0,32.9,854.17,51
1600075055.0,68.3,32.7,786.67,52
1600075355.0,69.3,32.5,693.33,53
1600075655.0,70.5,32.3,586.67,54
1600075955.0,71.1,32.1,415.83,55
1600076255.0,72.0,32.0,110.0,56
1600076555.0,72.2,32.0,80.83,57
1600076855.0,71.8,31.9,57.5,58
1600077155.0,71.8,31.9,39.17,59
1600077455.0,71.8,31.9,25.0,60
1600077755.0,71.7,31.8,10.83,61
1600078055.0,71.3,31.7,0.83,62
1600078355.0,71.4,31.7,0.0,63
1600078655.0,71.2,31.7,0.0,64
1600078955.0,71.2,31.6,0.0,65
1600079255.0,71.0,31.6,0.0,66
1600079555.0,70.8,31.6,0.0,67
1600079855.0,70.8,31.5,0.0,68
1600080155.0,70.9,31.5,0.0,69
1600080455.0,70.6,31.4,0.0,70
1600080755.0,70.8,31.4,0.0,71
1600081055.0,70.6,31.4,0.0,72
1600081355.0,70.7,31.3,0.0,73
1600081655.0,70.8,31.3,0.0,74
1600081955.0,70.7,31.2,0.0,75
1600082255.0,71.0,31.2,0.0,76
1600082555.0,71.0,31.2,0.0,77
1600082855.0,70.6,31.1,0.0,78
1600083155.0,70.8,31.1,0.0,79
1600083455.0,71.0,31.1,0.0,80
1600083755.0,71.0,31.0,0.0,81
1600084055.0,70.8,31.0,0.0,82
1600084355.0,70.8,30.9,0.0,83
1600084655.0,70.8,30.9,0.0,84
1600084955.0,70.5,30.9,0.0,85
1600085255.0,70.7,30.9,0.0,86
1600085555.0,70.5,30.9,0.0,87
1600085855.0,70.6,30.9,0.0,88
1600086155.0,70.8,30.8,0.0,89
1600086455.0,70.8,30.8,0.0,90
1600086755.0,71.0,30.8,0.0,91
1600087055.0,71.1,30.7,0.0,92
1600087355.0,70.8,30.7,0.0,93
1600087656.0,70.8,30.7,0.0,94
1600087956.0,70.7,30.7,0.0,95
1600088256.0,70.7,30.6,0.0,96
1600088556.0,70.7,30.6,0.0,97
1600088856.0,70.8,30.5,0.0,98
1600089156.0,70.7,30.5,0.0,99
1600089456.0,70.7,30.5,0.0,100
1600089756.0,70.7,30.5,0.0,101
1600090056.0,71.1,30.5,0.0,102
1600090356.0,70.4,30.4,0.0,103
1600090656.0,70.3,30.4,0.0,104
1600090956.0,70.2,30.4,0.0,105
1600091256.0,70.5,30.4,0.0,106
1600091556.0,70.5,30.4,0.0,107
1600091856.0,70.7,30.4,0.0,108
1600092156.0,70.7,30.3,0.0,109
1600092456.0,70.4,30.3,0.0,110
1600092756.0,70.9,30.3,0.0,111
1600093056.0,71.0,30.3,0.0,112
1600093356.0,70.6,30.2,0.0,113
1600093656.0,70.8,30.2,0.0,114
1600093956.0,70.4,30.2,0.0,115
1600094256.0,70.7,30.2,0.0,116
1600094556.0,70.6,30.2,0.0,117
1600094856.0,70.5,30.1,0.0,118
1600095156.0,70.9,30.1,0.0,119
1600095456.0,70.4,30.1,0.0,120
1600095756.0,70.5,30.0,0.0,121
1600096056.0,70.4,30.0,0.0,122
1600096356.0,70.2,30.0,0.0,123
1600096656.0,70.4,30.0,0.0,124
1600096956.0,70.4,30.0,0.0,125
1600097256.0,70.6,30.0,0.0,126
1600097556.0,70.9,30.0,0.0,127
1600097856.0,69.9,29.9,0.0,128
1600098156.0,71.1,29.9,0.0,129
1600098456.0,70.6,29.9,0.0,130
1600098756.0,70.4,29.8,0.0,131
1600099056.0,70.7,29.8,0.0,132
1600099356.0,70.6,29.8,0.0,133
1600099656.0,70.5,29.8,0.0,134
1600099956.0,70.7,29.8,0.0,135
1600100256.0,70.6,29.8,0.0,136
1600100556.0,70.8,29.7,0.0,137
1600100856.0,70.3,29.7,0.0,138
1600101156.0,70.7,29.7,0.0,139
1600101456.0,70.6,29.6,0.0,140
1600101756.0,70.8,29.6,0.0,141
1600102056.0,70.5,29.6,0.0,142
1600102356.0,70.9,29.6,0.0,143
1600102656.0,70.3,29.7,0.0,144
1600102956.0,70.4,29.6,0.0,145
1600103256.0,70.2,29.6,0.0,146
1600103556.0,70.2,29.6,0.0,147
1600103856.0,70.3,29.6,0.0,148
1600104156.0,70.0,29.6,0.0,149
1600104456.0,70.0,29.6,0.0,150
1600104756.0,70.3,29.6,0.0,151
1600105056.0,69.8,29.6,0.0,152
1600105356.0,69.8,29.6,0.0,153
1600105656.0,70.2,29.6,0.0,154
1600105956.0,70.1,29.6,0.0,155
1600106256.0,70.3,29.5,0.0,156
1600106556.0,70.3,29.5,0.0,157
1600106856.0,70.3,29.5,0.0,158
1600107156.0,70.4,29.5,0.0,159
1600107456.0,70.1,29.5,0.0,160
1600107756.0,69.8,29.4,0.0,161
1600108056.0,69.7,29.5,0.0,162
1600108356.0,70.35,29.45,0.0,163.0
1600108656.0,71.0,29.4,0.0,164
1600108956.0,73.8,29.4,0.0,165
1600109256.0,76.3,29.4,0.0,166
1600109556.0,77.3,29.4,0.0,167
1600109856.0,78.0,29.4,0.0,168
1600110156.0,78.8,29.4,0.0,169
1600110456.0,80.5,29.5,0.0,170
1600110756.0,81.7,29.5,0.0,171
1600111056.0,82.3,29.5,0.0,172
1600111356.0,83.6,29.5,0.0,173
1600111656.0,84.0,29.5,0.0,174
1600111956.0,84.6,29.5,0.0,175
1600112256.0,85.7,29.5,0.0,176
1600112556.0,86.2,29.5,0.0,177
1600112856.0,86.7,29.5,0.0,178
1600113156.0,87.3,29.5,0.0,179
1600113456.0,87.7,29.5,0.0,180
1600113756.0,88.0,29.5,0.0,181
1600114056.0,89.8,29.5,0.0,182
1600114356.0,90.3,29.5,0.0,183
1600114656.0,90.5,29.5,0.0,184
1600114956.0,90.7,29.5,0.0,185
1600115256.0,90.9,29.4,0.0,186
1600115556.0,91.5,29.4,0.0,187
1600115856.0,92.0,29.4,0.0,188
1600116156.0,92.1,29.3,0.0,189
1600116456.0,92.7,29.3,0.0,190
1600116756.0,93.0,29.3,0.0,191
1600117056.0,93.3,29.2,0.0,192
1600117356.0,94.0,29.1,0.0,193
1600117656.0,95.0,29.0,0.0,194
1600117956.0,95.9,28.8,0.0,195
1600118256.0,96.4,28.7,0.0,196
1600118556.0,96.7,28.6,0.0,197
1600118856.0,97.1,28.5,0.0,198
1600119156.0,97.7,28.5,0.0,199
1600119456.0,98.0,28.5,0.83,200
1600119756.0,98.6,28.5,1.67,201
1600120056.0,98.8,28.5,4.17,202
1600120356.0,99.1,28.5,6.67,203
1600120656.0,99.3,28.5,10.0,204
1600120956.0,99.4,28.5,15.0,205
1600121256.0,99.5,28.5,55.0,206
1600121556.0,99.6,28.5,70.0,207
1600121856.0,99.7,28.6,89.17,208
1600122156.0,99.8,28.6,106.67,209
1600122456.0,99.8,28.7,126.67,210
1600122756.0,99.8,28.7,140.0,211
1600123056.0,99.7,28.7,163.33,212
1600123356.0,99.7,28.8,180.83,213
1600123656.0,99.7,28.9,200.0,214
1600123956.0,99.7,28.9,215.83,215
1600124256.0,99.7,28.9,240.0,216
1600124557.0,99.8,29.1,260.83,217
1600124857.0,99.8,29.2,290.83,218
1600125157.0,99.7,29.3,314.17,219
1600125457.0,99.7,29.4,341.67,220
1600125757.0,99.7,29.5,365.0,221
1600126057.0,99.7,29.6,380.0,222
1600126357.0,99.5,29.7,402.5,223
1600126657.0,98.7,29.7,419.17,224
1600126957.0,98.6,29.7,447.5,225
1600127257.0,98.8,29.8,464.17,226
1600127557.0,98.4,29.9,515.0,227
1600127857.0,98.4,30.0,546.67,228
1600128157.0,98.0,30.1,566.67,229
1600128457.0,91.3,30.0,662.5,230
1600128757.0,93.8,30.0,686.67,231
1600129057.0,95.6,30.1,687.5,232
1600129357.0,95.9,30.3,710.83,233
1600129657.0,96.2,30.6,731.67,234
1600129957.0,91.0,30.7,797.5,235
1600130257.0,91.3,30.5,857.5,236
1600130557.0,91.9,30.6,885.0,237
1600130857.0,89.9,30.6,921.67,238
1600131157.0,91.5,30.7,957.5,239
1600131457.0,90.0,30.8,990.0,240
1600131757.0,84.1,30.8,1005.0,241
1600132057.0,84.4,30.2,976.67,242
1600132357.0,88.2,29.5,1081.67,243
1600132657.0,90.5,28.9,1063.33,244
1600132957.0,91.5,28.5,1160.0,245
1600133257.0,92.1,28.5,1224.17,246
1600133557.0,91.0,28.7,1243.33,247
1600133857.0,90.3,28.9,1206.67,248
1600134157.0,89.2,29.1,1270.0,249
1600134457.0,89.2,29.3,1322.5,250
1600134757.0,86.4,29.5,1325.83,251
1600135057.0,85.9,29.7,1343.33,252
1600135357.0,83.8,29.9,1357.5,253
1600135657.0,82.3,30.0,1365.83,254
1600135957.0,80.5,30.2,1377.5,255
1600136257.0,78.3,30.4,1393.33,256
1600136557.0,79.4,30.6,1400.83,257
1600136857.0,79.5,30.7,1422.5,258
1600137157.0,77.7,30.9,1435.0,259
1600137457.0,76.5,31.1,1390.0,260
1600137757.0,76.3,31.3,1440.83,261
1600138057.0,81.0,31.5,1470.83,262
1600138357.0,74.0,31.6,1474.17,263
1600138657.0,76.2,31.7,1456.67,264
1600138957.0,74.2,31.9,849.17,265
1600139257.0,73.0,31.8,540.83,266
1600139557.0,75.2,31.8,543.33,267
1600139857.0,70.7,31.8,543.33,268
1600140157.0,74.1,31.9,522.5,269
1600140457.0,72.7,31.9,538.33,270
1600140757.0,73.2,32.1,544.17,271
1600141057.0,69.8,32.1,555.0,272
1600141357.0,71.8,32.3,579.17,273
1600141657.0,70.9,32.3,230.0,274
1600141957.0,71.6,32.4,387.5,275
1600142257.0,69.4,32.3,551.67,276
1600142557.0,71.5,32.5,527.5,277
1600142857.0,67.5,32.6,517.5,278
1600143157.0,71.5,32.8,452.5,279
1600143457.0,69.1,32.8,464.17,280
1600143757.0,69.7,32.9,522.5,281
1600144057.0,68.6,32.9,533.33,282
1600144357.0,68.8,33.1,521.67,283
1600144657.0,67.9,33.2,516.67,284
1600144957.0,68.4,33.4,489.17,285
1600145257.0,67.3,33.4,515.0,286
1600145557.0,67.8,33.6,471.67,287
1600145857.0,66.3,33.6,500.0,288
1600146157.0,65.8,33.7,514.17,289
1600146457.0,64.3,33.5,503.33,290
1600146757.0,67.5,33.7,500.0,291
1600147057.0,74.9,33.4,171.67,292
1600147358.0,77.9,32.8,161.67,293
1600147658.0,79.1,32.2,493.33,294
1600147958.0,79.1,31.9,425.0,295
1600148258.0,79.4,31.7,520.0,296
1600148558.0,80.7,31.7,390.83,297
1600148858.0,82.9,31.6,163.33,298
1600149158.0,81.8,31.5,226.67,299
1600149458.0,82.7,31.4,456.67,300
1600149758.0,82.1,31.6,229.17,301
1600150058.0,80.6,31.8,400.0,302
1600150358.0,78.4,31.9,323.33,303
1600150658.0,78.2,32.0,385.83,304
1600150958.0,78.4,32.2,415.0,305
1600151258.0,77.0,32.2,370.0,306
1600151558.0,80.2,32.4,375.83,307
1600151858.0,76.1,32.3,359.17,308
1600152158.0,76.9,32.2,358.33,309
1600152458.0,76.7,32.3,330.0,310
1600152758.0,75.4,32.2,330.0,311
1600153058.0,74.3,32.3,322.5,312
1600153358.0,76.4,32.1,325.83,313
1600153658.0,78.3,32.1,300.0,314
1600153958.0,77.0,31.9,299.17,315
1600154258.0,78.1,31.9,287.5,316
1600154558.0,77.4,31.8,287.5,317
1600154858.0,77.7,31.7,283.33,318
1600155158.0,78.05000000000001,31.6,270.83,319.0
1600155458.0,78.4,31.5,258.33,320
1600155758.0,80.0,31.6,261.67,321
1600156058.0,77.9,31.3,250.0,322
1600156358.0,78.4,31.5,220.83,323
1600156658.0,77.6,31.2,238.33,324
1600156958.0,78.1,31.2,675.83,325
1600157258.0,75.3,31.6,1898.33,326
1600157558.0,74.2,32.2,1782.5,327
1600157858.0,73.0,32.6,1728.33,328
1600158158.0,72.5,32.8,1640.0,329
1600158458.0,71.7,32.9,1609.17,330
1600158758.0,71.6,32.9,1647.5,331
1600159058.0,71.2,32.9,1526.67,332
1600159358.0,71.3,32.8,1384.17,333
1600159658.0,72.1,32.7,1370.83,334
1600159958.0,72.5,32.6,1308.33,335
1600160258.0,72.2,32.4,1168.33,336
1600160558.0,72.0,32.3,1018.33,337
1600160858.0,73.1,32.1,972.5,338
1600161158.0,73.2,31.9,906.67,339
1600161458.0,74.0,31.7,815.0,340
1600161758.0,73.7,31.6,708.33,341
1600162058.0,74.4,31.4,603.33,342
1600162358.0,75.0,31.2,507.5,343
1600162658.0,75.5,31.0,383.33,344
1600162958.0,75.7,30.8,283.33,345
1600163258.0,76.8,30.6,192.5,346
1600163558.0,77.5,30.3,125.0,347
1600163858.0,78.4,30.1,71.67,348
1600164158.0,81.7,30.0,25.83,349
1600164458.0,83.1,30.0,0.83,350
1600164758.0,85.1,29.9,0.0,351
1600165058.0,86.8,29.9,0.0,352
1600165358.0,87.7,29.9,0.0,353
1600165658.0,87.7,29.9,0.0,354
1600165958.0,88.2,29.9,0.0,355
1600166258.0,88.6,29.9,0.0,356
1600166558.0,88.8,29.9,0.0,357
1600166858.0,89.4,29.9,0.0,358
1600167158.0,89.8,29.9,0.0,359
1600167458.0,89.4,29.9,0.0,360
1600167758.0,89.7,29.9,0.0,361
1600168058.0,89.8,29.8,0.0,362
1600168358.0,89.7,29.8,0.0,363
1600168658.0,89.4,29.8,0.0,364
1600168958.0,90.2,29.8,0.0,365
1600169258.0,90.1,29.8,0.0,366
1600169558.0,90.3,29.8,0.0,367
1600169858.0,90.4,29.8,0.0,368
1600170158.0,90.4,29.8,0.0,369
1600170458.0,90.4,29.8,0.0,370
1600170758.0,90.8,29.8,0.0,371
1600171058.0,90.7,29.7,0.0,372
1600171358.0,90.8,29.7,0.0,373
1600171658.0,90.8,29.7,0.0,374
1600171958.0,90.8,29.7,0.0,375
1600172258.0,90.8,29.7,0.0,376
1600172558.0,91.1,29.7,0.0,377
1600172858.0,91.0,29.7,0.0,378
1600173158.0,91.0,29.7,0.0,379
1600173458.0,91.0,29.7,0.0,380
1600173758.0,91.0,29.7,0.0,381
1600174058.0,91.2,29.6,0.0,382
1600174359.0,91.0,29.6,0.0,383
1600174659.0,90.9,29.6,0.0,384
1600174959.0,90.8,29.6,0.0,385
1600175259.0,91.1,29.6,0.0,386
1600175559.0,91.1,29.6,0.0,387
1600175859.0,91.1,29.6,0.0,388
1600176159.0,91.2,29.6,0.0,389
1600176459.0,91.2,29.6,0.0,390
1600176759.0,91.4,29.6,0.0,391
1600177059.0,91.1,29.6,0.0,392
1600177359.0,91.2,29.5,0.0,393
1600177659.0,91.2,29.5,0.0,394
1600177959.0,91.0,29.5,0.0,395
1600178259.0,91.2,29.5,0.0,396
1600178559.0,91.2,29.5,0.0,397
1600178859.0,91.3,29.5,0.0,398
1600179159.0,91.3,29.4,0.0,399
1600179459.0,91.2,29.4,0.0,400
1600179759.0,91.2,29.4,0.0,401
1600180059.0,91.4,29.4,0.0,402
1600180359.0,91.5,29.4,0.0,403
1600180659.0,91.5,29.4,0.0,404
1600180959.0,91.4,29.3,0.0,405
1600181259.0,91.3,29.3,0.0,406
1600181559.0,91.3,29.3,0.0,407
1600181859.0,91.5,29.3,0.0,408
1600182159.0,91.3,29.3,0.0,409
1600182459.0,91.4,29.3,0.0,410
1600182759.0,91.4,29.3,0.0,411
1600183059.0,91.4,29.2,0.0,412
1600183359.0,91.0,29.2,0.0,413
1600183659.0,91.0125,29.2,0.0,414.0
1600183959.0,91.025,29.2,0.0,415.0
1600184259.0,91.0375,29.2,0.0,416.0
1600184559.0,91.05,29.2,0.0,417.0
1600184859.0,91.0625,29.2,0.0,418.0
1600185159.0,91.07499999999999,29.2,0.0,419.0
1600185459.0,91.08749999999999,29.2,0.0,420.0
1600185759.0,91.1,29.2,0.0,421
1600186059.0,91.4,29.2,0.0,422
1600186359.0,91.5,29.2,0.0,423
1600186659.0,91.3,29.1,0.0,424
1600186959.0,91.5,29.1,0.0,425
1600187259.0,91.3,29.1,0.0,426
1600187559.0,91.1,29.1,0.0,427
1600187859.0,91.3,29.1,0.0,428
1600188159.0,91.4,29.1,0.0,429
1600188459.0,91.1,29.1,0.0,430
1600188759.0,91.3,29.1,0.0,431
1600189059.0,91.3,29.1,0.0,432
1600189359.0,91.3,29.1,0.0,433
1600189659.0,91.3,29.1,0.0,434
1600189959.0,91.3,29.1,0.0,435
1600190259.0,91.3,29.1,0.0,436
1600190559.0,91.2,29.1,0.0,437
1600190859.0,91.2,29.1,0.0,438
1600191159.0,91.4,29.1,0.0,439
1600191459.0,91.2,29.1,0.0,440
1600191759.0,91.1,29.1,0.0,441
1600192059.0,91.1,29.1,0.0,442
1600192359.0,91.1,29.1,0.0,443
1600192659.0,91.2,29.1,0.0,444
1600192959.0,91.2,29.1,0.0,445
1600193259.0,91.3,29.1,0.0,446
1600193559.0,91.2,29.1,0.0,447
1600193859.0,91.1,29.1,0.0,448
1600194159.0,91.4,29.1,0.0,449
1600194459.0,91.3,29.1,0.0,450
1600194759.0,91.0,29.0,0.0,451
1600195059.0,90.7,29.0,0.0,452
1600195359.0,90.8,29.0,0.0,453
1600195659.0,90.9,29.0,0.0,454
1600195959.0,91.2,29.0,0.0,455
1600196259.0,91.2,29.0,0.0,456
1600196559.0,90.9,29.0,0.0,457
1600196859.0,90.5,29.0,0.0,458
1600197159.0,90.8,29.0,0.0,459
1600197459.0,90.8,28.9,0.0,460
1600197759.0,91.2,28.9,0.0,461
1600198059.0,90.7,28.9,0.0,462
1600198359.0,90.9,28.9,0.0,463
1600198659.0,90.9,28.9,0.0,464
1600198959.0,90.9,28.9,0.0,465
1600199259.0,90.6,28.8,0.0,466
1600199559.0,90.9,28.8,0.0,467
1600199859.0,90.6,28.8,0.0,468
1600200159.0,91.0,28.8,0.0,469
1600200459.0,90.6,28.8,0.0,470
1600200759.0,90.6,28.8,0.0,471
1600201059.0,90.9,28.7,0.0,472
1600201359.0,90.8,28.7,0.0,473
1600201659.0,90.7,28.7,0.0,474
1600201959.0,90.8,28.7,0.0,475
1600202259.0,90.2,28.6,0.0,476
1600202559.0,90.0,28.7,0.0,477
1600202859.0,90.6,28.7,0.0,478
1600203159.0,91.0,28.6,0.0,479
1600203459.0,90.6,28.7,0.0,480
1600203759.0,90.6,28.6,0.0,481
1600204059.0,90.7,28.6,0.0,482
1600204359.0,90.3,28.6,0.0,483
1600204659.0,90.0,28.6,0.0,484
1600204959.0,90.7,28.6,0.0,485
1600205259.0,90.5,28.6,0.0,486
1600205559.0,90.5,28.6,0.0,487
1600205859.0,90.5,28.6,0.0,488
1600206159.0,90.5,28.5,1.67,489
1600206459.0,90.3,28.5,3.33,490
1600206759.0,90.2,28.5,5.83,491
1600207059.0,90.3,28.5,9.17,492
1600207359.0,90.3,28.5,15.0,493
1600207659.0,90.5,28.5,56.67,494
1600207959.0,90.2,28.6,75.0,495
1600208259.0,90.3,28.6,93.33,496
1600208559.0,90.19999999999999,28.65,111.66499999999999,497.0
1600208859.0,90.1,28.7,130.0,498
1600209159.0,90.0,28.7,160.0,499
1600209459.0,90.0,28.8,180.0,500
1600209759.0,88.1,28.9,210.83,501
1600210059.0,87.5,29.1,230.0,502
1600210359.0,88.4,29.2,265.0,503
1600210659.0,87.9,29.3,292.5,504
1600210959.0,87.6,29.5,320.0,505
1600211259.0,86.0,29.6,349.17,506
1600211560.0,86.4,29.8,385.0,507
1600211860.0,84.6,30.0,413.33,508
1600212160.0,84.3,30.2,441.67,509
1600212460.0,83.7,30.5,475.0,510
1600212760.0,81.0,30.7,510.0,511
1600213060.0,81.6,31.0,528.33,512
1600213360.0,81.0,31.3,550.83,513
1600213660.0,80.7,31.4,560.0,514
1600213960.0,80.6,31.6,600.83,515
1600214260.0,78.9,31.8,620.0,516
1600214560.0,76.6,32.0,678.33,517
1600214860.0,71.1,32.0,813.33,518
1600215160.0,71.6,32.0,840.83,519
1600215460.0,72.0,31.9,865.83,520
1600215760.0,72.0,31.9,880.83,521
1600216060.0,71.7,31.9,907.5,522
1600216360.0,71.1,32.0,923.33,523
1600216660.0,70.6,32.1,997.5,524
1600216960.0,70.5,32.2,1004.17,525
1600217260.0,69.9,32.4,1016.67,526
1600217560.0,69.6,32.6,1058.33,527
1600217860.0,69.1,32.8,1084.17,528
1600218160.0,69.6,32.9,1081.67,529
1600218460.0,69.4,32.8,1005.83,530
1600218760.0,69.9,32.8,1100.83,531
1600219060.0,72.3,32.7,1187.5,532
1600219360.0,70.2,32.5,494.17,533
1600219660.0,70.8,32.2,1304.17,534
1600219960.0,71.9,32.4,1215.0,535
1600220260.0,70.4,32.5,490.0,536
1600220560.0,71.1,32.3,1260.0,537
1600220860.0,72.0,32.4,1355.83,538
1600221160.0,69.6,32.6,1346.67,539
1600221460.0,70.9,32.8,1195.0,540
1600221760.0,70.0,32.8,910.83,541
1600222060.0,68.6,32.7,1311.67,542
1600222360.0,68.0,32.7,1495.83,543
1600222660.0,69.2,32.9,1461.67,544
1600222960.0,71.1,33.1,1386.67,545
