Unix Time Stamps,No.Dead,No.plant
1598371200,1,631
1597593600,1,631
1596470400,1,631
1598630400,1,742
1598198400,5,742
1598025600,1,742
1597939200,1,742
1597593600,1,742
1597334400,1,742
1597248000,1,742
1597161600,3,742
1596988800,1,742
1596816000,1,742
1596643200,1,742
