²Än¦¸,test_loss,test_mae
"1,64",0.13634128868579865,0.2784513533115387
"2,64",0.1352997124195099,0.2808059751987457
"3,64",0.12335168570280075,0.27031269669532776
"4,64",0.13216453790664673,0.2634972929954529
"5,64",0.14553521573543549,0.2856561541557312
"6,64",0.14835159480571747,0.28757017850875854
"7,64",0.12323875725269318,0.2668805718421936
"8,64",0.15421202778816223,0.2867901623249054
"9,64",0.15985950827598572,0.2820167541503906
"10,64",0.13192838430404663,0.2654079496860504
"mean,64",0.13902827128767967,0.2767389088869095
"1,128",0.1232665628194809,0.2732603847980499
"2,128",0.12031368166208267,0.25323718786239624
"3,128",0.12825538218021393,0.28130170702934265
"4,128",0.14370205998420715,0.2635129988193512
"5,128",0.131016805768013,0.26744112372398376
"6,128",0.13344475626945496,0.2761600613594055
"7,128",0.12456344813108444,0.269311785697937
"8,128",0.13538791239261627,0.279364675283432
"9,128",0.12859490513801575,0.2777280807495117
"10,128",0.12370101362466812,0.2844747304916382
"mean,128",0.12922465279698372,0.2725792735815048
"1,256",0.1321987509727478,0.2677742540836334
"2,256",0.16942158341407776,0.2971871793270111
"3,256",0.12460131198167801,0.25315526127815247
"4,256",0.13995690643787384,0.27397581934928894
"5,256",0.12260358780622482,0.2782367169857025
"6,256",0.16372078657150269,0.31959816813468933
"7,256",0.1368957906961441,0.26784247159957886
"8,256",0.13136865198612213,0.2738005518913269
"9,256",0.1344570517539978,0.2701301574707031
"10,256",0.13250480592250824,0.272787868976593
"mean,256",0.1387729227542877,0.277448844909668
"1,512",0.14130063354969025,0.2548859119415283
"2,512",0.132358118891716,0.2739647328853607
"3,512",0.1357920914888382,0.2658480107784271
"4,512",0.11133958399295807,0.24785450100898743
"5,512",0.14878207445144653,0.2761078476905823
"6,512",0.12528780102729797,0.2948465943336487
"7,512",0.12464287132024765,0.2684987485408783
"8,512",0.14534936845302582,0.27128875255584717
"9,512",0.13882789015769958,0.26229506731033325
"10,512",0.13883240520954132,0.28002339601516724
"mean,512",0.13425128385424615,0.269561356306076
